Date,Markowitz MVO,Random Forest,Equal Weight
2015-02-02,1.013072,1.017773,1.015093
2015-02-03,1.023825,1.036319,1.030286
2015-02-04,1.021891,1.031585,1.026564
2015-02-05,1.033385,1.041267,1.037743
2015-02-06,1.023888,1.048149,1.035866
2015-02-09,1.017993,1.049405,1.033936
2015-02-10,1.031756,1.060408,1.043713
2015-02-11,1.036184,1.059858,1.044927
2015-02-12,1.040877,1.071435,1.055494
2015-02-13,1.046816,1.076825,1.058852
2015-02-17,1.049833,1.078595,1.060222
2015-02-18,1.050214,1.072216,1.057133
2015-02-19,1.052236,1.069737,1.053987
2015-02-20,1.062379,1.076624,1.060887
2015-02-23,1.072972,1.072645,1.061941
2015-02-24,1.072760,1.084209,1.065781
2015-02-25,1.066793,1.084507,1.063944
2015-02-26,1.070472,1.086459,1.064040
2015-02-27,1.065046,1.084861,1.061210
2015-03-02,1.075239,1.089801,1.067885
2015-03-03,1.065071,1.083077,1.062068
2015-03-04,1.063845,1.079698,1.056869
2015-03-05,1.068439,1.082610,1.058150
2015-03-06,1.052374,1.063142,1.040714
2015-03-09,1.062579,1.070071,1.045931
2015-03-10,1.047748,1.054319,1.030310
2015-03-11,1.041794,1.057324,1.028276
2015-03-12,1.052803,1.072951,1.040411
2015-03-13,1.049959,1.068603,1.035375
2015-03-16,1.068137,1.087585,1.048898
2015-03-17,1.066265,1.081637,1.045221
2015-03-18,1.079913,1.102126,1.058713
2015-03-19,1.081205,1.097545,1.052031
2015-03-20,1.084102,1.104952,1.060538
2015-03-23,1.081120,1.106823,1.058765
2015-03-24,1.073756,1.098902,1.051651
2015-03-25,1.047441,1.085878,1.033078
2015-03-26,1.046660,1.080663,1.030138
2015-03-27,1.052917,1.084233,1.031364
2015-03-30,1.069825,1.108402,1.047082
2015-03-31,1.054207,1.095957,1.035459
2015-04-01,1.046357,1.097802,1.034859
2015-04-02,1.048854,1.100509,1.038040
2015-04-06,1.057385,1.118596,1.048432
2015-04-07,1.057369,1.120589,1.046063
2015-04-08,1.058788,1.123913,1.046035
2015-04-09,1.067096,1.133278,1.050147
2015-04-10,1.072563,1.140333,1.055935
2015-04-13,1.065040,1.138827,1.051985
2015-04-14,1.064552,1.140717,1.055378
2015-04-15,1.062731,1.155436,1.062030
2015-04-16,1.069127,1.150219,1.062376
2015-04-17,1.053108,1.135622,1.050213
2015-04-20,1.061028,1.148319,1.059379
2015-04-21,1.058471,1.140428,1.054870
2015-04-22,1.061053,1.151577,1.060328
2015-04-23,1.065400,1.154458,1.061705
2015-04-24,1.072260,1.179796,1.067749
2015-04-27,1.069027,1.183287,1.067908
2015-04-28,1.072992,1.194263,1.071754
2015-04-29,1.056937,1.194310,1.066936
2015-04-30,1.042573,1.188194,1.056321
2015-05-01,1.057779,1.207167,1.067531
2015-05-04,1.058840,1.212289,1.069343
2015-05-05,1.044051,1.195904,1.057557
2015-05-06,1.037306,1.192349,1.052623
2015-05-07,1.045943,1.199788,1.057822
2015-05-08,1.050136,1.215052,1.064683
2015-05-11,1.043739,1.211875,1.059791
2015-05-12,1.042458,1.207852,1.056735
2015-05-13,1.049893,1.217306,1.059990
2015-05-14,1.070290,1.238529,1.073932
2015-05-15,1.071829,1.243190,1.076403
2015-05-18,1.075357,1.248282,1.076837
2015-05-19,1.076244,1.249446,1.076445
2015-05-20,1.077500,1.252375,1.077286
2015-05-21,1.074783,1.252231,1.077434
2015-05-22,1.068858,1.253539,1.074388
2015-05-26,1.058304,1.238105,1.064860
2015-05-27,1.075537,1.251583,1.075619
2015-05-28,1.077209,1.252197,1.075157
2015-05-29,1.070483,1.241669,1.067821
2015-06-01,1.071905,1.245406,1.070725
2015-06-02,1.064091,1.246254,1.067376
2015-06-03,1.065169,1.249047,1.068469
2015-06-04,1.056831,1.240217,1.061679
2015-06-05,1.054550,1.244718,1.060246
2015-06-08,1.048447,1.245844,1.057330
2015-06-09,1.049561,1.253023,1.058505
2015-06-10,1.059215,1.269132,1.068347
2015-06-11,1.063373,1.268258,1.071082
2015-06-12,1.050096,1.259678,1.061434
2015-06-15,1.048100,1.251749,1.055307
2015-06-16,1.059917,1.259017,1.063989
2015-06-17,1.058295,1.264407,1.066152
2015-06-18,1.071432,1.273743,1.076891
2015-06-19,1.065002,1.268664,1.070353
2015-06-22,1.066491,1.274941,1.073782
2015-06-23,1.065700,1.276221,1.072333
2015-06-24,1.055000,1.269265,1.064072
2015-06-25,1.060329,1.258995,1.061475
2015-06-26,1.059442,1.260269,1.060533
2015-06-29,1.038983,1.238596,1.039549
