,AAPL,MSFT,NVDA,JNJ,UNH,JPM,GS,PG,KO,XOM,CAT,HON,VZ,PLD,LIN
2015-01-31,0.0409,0.1294,0.0715,0.0000,0.0000,0.2238,0.0164,0.0000,0.1659,0.0000,0.1847,0.0000,0.1621,0.0000,0.0053
2015-02-28,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.2500,0.0000,0.2500,0.0000
2015-03-31,0.0664,0.2500,0.2500,0.0000,0.0000,0.2497,0.0281,0.0000,0.0000,0.0000,0.0132,0.0000,0.1426,0.0000,0.0000
2015-04-30,0.2105,0.0000,0.0000,0.0000,0.2500,0.0000,0.1724,0.0393,0.0000,0.0000,0.0000,0.2500,0.0000,0.0778,0.0000
2015-05-31,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.2500,0.0000,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000
2015-06-30,0.0379,0.2500,0.1216,0.0000,0.0000,0.0000,0.0000,0.0000,0.1309,0.0000,0.0000,0.0000,0.2097,0.2500,0.0000
2015-07-31,0.0000,0.0000,0.2500,0.0000,0.2500,0.0000,0.0000,0.2500,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000
2015-08-31,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500
2015-09-30,0.0260,0.0179,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.1127,0.2500,0.0000,0.2500,0.0935,0.0000
2015-10-31,0.0000,0.2500,0.2500,0.0000,0.1200,0.0000,0.0000,0.0000,0.1538,0.0000,0.2262,0.0000,0.0000,0.0000,0.0000
2015-11-30,0.0000,0.2500,0.2500,0.0000,0.2186,0.0000,0.0000,0.2500,0.0314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2015-12-31,0.2500,0.2500,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2016-01-31,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,0.0000,0.2408,0.0181,0.0782,0.0000,0.0000,0.1629,0.0000,0.0000
2016-02-29,0.2289,0.0000,0.1960,0.0000,0.0000,0.1281,0.0000,0.0415,0.0610,0.0198,0.1703,0.0000,0.0000,0.1545,0.0000
2016-03-31,0.0000,0.0000,0.0000,0.2500,0.0000,0.2500,0.2500,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000
2016-04-30,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.1596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0904,0.0000
2016-05-31,0.0000,0.0000,0.1584,0.2500,0.0426,0.0000,0.0000,0.0000,0.0000,0.0153,0.0000,0.0000,0.2500,0.0880,0.1957
2016-06-30,0.1688,0.0000,0.2500,0.0000,0.0000,0.1948,0.0000,0.0000,0.0000,0.0000,0.1363,0.0000,0.0000,0.2500,0.0000
2016-07-31,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.0129,0.2500,0.2371,0.0000,0.0000,0.0000,0.0000,0.0000
2016-08-31,0.2168,0.0000,0.2267,0.0000,0.0592,0.0000,0.0000,0.1766,0.0000,0.0000,0.2500,0.0000,0.0000,0.0706,0.0000
2016-09-30,0.1425,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.1075,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
