Date,Markowitz MVO,Random Forest,Equal Weight
2015-08-03,1.053102,1.054865,1.039055
2015-08-04,1.051306,1.045905,1.035763
2015-08-05,1.062043,1.050807,1.040974
2015-08-06,1.051591,1.050183,1.037848
2015-08-07,1.056060,1.058405,1.042911
2015-08-10,1.071946,1.079861,1.060172
2015-08-11,1.054833,1.067893,1.048002
2015-08-12,1.054846,1.072951,1.049654
2015-08-13,1.052951,1.066684,1.046591
2015-08-14,1.057941,1.068783,1.049843
2015-08-17,1.067819,1.073462,1.054984
2015-08-18,1.070568,1.072379,1.054021
2015-08-19,1.059125,1.061336,1.043459
2015-08-20,1.037330,1.044920,1.025729
2015-08-21,0.996157,1.013110,0.991395
2015-08-24,0.958829,0.976275,0.952878
2015-08-25,0.945540,0.962926,0.938648
2015-08-26,0.989059,1.001145,0.975850
2015-08-27,1.014104,1.025185,0.999012
2015-08-28,1.011598,1.025272,0.999250
2015-08-31,1.002106,1.019712,0.993549
2015-09-01,0.968953,0.986897,0.962154
2015-09-02,0.991709,1.003935,0.979182
2015-09-03,0.990574,1.004312,0.979737
2015-09-04,0.972886,0.987368,0.961220
2015-09-08,1.004678,1.013210,0.985200
2015-09-09,0.990319,1.000579,0.971088
2015-09-10,1.000772,1.009833,0.977286
2015-09-11,1.006905,1.015777,0.981123
2015-09-14,1.004947,1.013890,0.979210
2015-09-15,1.019014,1.028924,0.993758
2015-09-16,1.025098,1.038055,1.002398
2015-09-17,1.028155,1.037505,0.998612
2015-09-18,1.015414,1.028577,0.983312
2015-09-21,1.021805,1.038112,0.990956
2015-09-22,1.009780,1.024448,0.979514
2015-09-23,1.008115,1.021082,0.975241
2015-09-24,1.005353,1.023648,0.970862
2015-09-25,0.995133,1.022689,0.972732
2015-09-28,0.979415,1.003537,0.956711
2015-09-29,0.988972,1.007902,0.961447
2015-09-30,1.007777,1.018707,0.974203
2015-10-01,1.005485,1.015472,0.972333
2015-10-02,1.023452,1.030327,0.985168
2015-10-05,1.039260,1.055440,1.004218
2015-10-06,1.033137,1.054308,1.004794
2015-10-07,1.041392,1.059803,1.011822
2015-10-08,1.046638,1.065536,1.018523
2015-10-09,1.052431,1.069198,1.019755
2015-10-12,1.061495,1.074262,1.022714
2015-10-13,1.060122,1.075352,1.019966
2015-10-14,1.057925,1.074400,1.016777
2015-10-15,1.063650,1.081398,1.027464
2015-10-16,1.068055,1.079713,1.029813
2015-10-19,1.069460,1.080662,1.029931
2015-10-20,1.071518,1.085721,1.034265
2015-10-21,1.063148,1.070325,1.025940
2015-10-22,1.077583,1.083818,1.045397
2015-10-23,1.106403,1.097176,1.061607
2015-10-26,1.108154,1.093233,1.059242
2015-10-27,1.110807,1.091671,1.056691
2015-10-28,1.119733,1.107263,1.068930
2015-10-29,1.110978,1.108593,1.067558
2015-10-30,1.109338,1.103518,1.063691
2015-11-02,1.120856,1.114762,1.076181
2015-11-03,1.120587,1.113976,1.078737
2015-11-04,1.111290,1.101969,1.073706
2015-11-05,1.112625,1.103075,1.073698
2015-11-06,1.140761,1.125134,1.082908
2015-11-09,1.130742,1.112302,1.069661
2015-11-10,1.125659,1.110596,1.068274
2015-11-11,1.123294,1.104500,1.066732
2015-11-12,1.111930,1.086495,1.050510
2015-11-13,1.098545,1.083309,1.043119
2015-11-16,1.118300,1.102142,1.061764
2015-11-17,1.117793,1.095235,1.055967
2015-11-18,1.139724,1.117176,1.073653
2015-11-19,1.129465,1.108363,1.072872
2015-11-20,1.140013,1.116275,1.075467
2015-11-23,1.133113,1.111735,1.071483
2015-11-24,1.134051,1.118622,1.074758
2015-11-25,1.133916,1.119337,1.072614
2015-11-27,1.138134,1.121851,1.076010
2015-11-30,1.136584,1.121173,1.073594
2015-12-01,1.156918,1.138771,1.083564
2015-12-02,1.155839,1.135089,1.073141
2015-12-03,1.141248,1.120933,1.059683
2015-12-04,1.173012,1.150593,1.084322
2015-12-07,1.164289,1.137951,1.075288
2015-12-08,1.162575,1.134213,1.064689
2015-12-09,1.148402,1.121221,1.056430
2015-12-10,1.154919,1.126987,1.059628
2015-12-11,1.136043,1.110339,1.042880
2015-12-14,1.142914,1.115506,1.048346
2015-12-15,1.151956,1.127661,1.061509
2015-12-16,1.172340,1.139302,1.078257
2015-12-17,1.159883,1.126058,1.061579
2015-12-18,1.136656,1.100046,1.041782
2015-12-21,1.149113,1.114448,1.051045
2015-12-22,1.156735,1.119763,1.061113
2015-12-23,1.165839,1.132128,1.074442
2015-12-24,1.165000,1.129826,1.071478
2015-12-28,1.163670,1.128118,1.068813
2015-12-29,1.177315,1.140742,1.079582
2015-12-30,1.169709,1.131826,1.071231
2015-12-31,1.155700,1.118127,1.060014
2016-01-04,1.138954,1.104089,1.046577
2016-01-05,1.146859,1.105193,1.048626
2016-01-06,1.126844,1.083891,1.033929
2016-01-07,1.093638,1.048450,1.006574
2016-01-08,1.081642,1.043693,0.996940
2016-01-11,1.079415,1.047978,0.996533
2016-01-12,1.093327,1.058893,1.004315
2016-01-13,1.068454,1.036734,0.986173
2016-01-14,1.080730,1.044271,0.998916
2016-01-15,1.049470,1.010473,0.975457
2016-01-19,1.056882,1.012423,0.979698
2016-01-20,1.056899,1.006820,0.968968
2016-01-21,1.056828,1.007813,0.972680
2016-01-22,1.075172,1.035387,0.994096
2016-01-25,1.067340,1.024426,0.978411
2016-01-26,1.086858,1.039692,0.998811
2016-01-27,1.075789,1.018577,0.988755
2016-01-28,1.077558,1.021103,0.996624
2016-01-29,1.121998,1.055076,1.024552
2016-02-01,1.121169,1.056011,1.022285
2016-02-02,1.093745,1.032502,0.998276
2016-02-03,1.094264,1.037277,1.012607
2016-02-04,1.096844,1.036254,1.021371
2016-02-05,1.060521,1.008424,1.008367
2016-02-08,1.047163,0.993109,0.995521
