Date,Markowitz MVO,Random Forest,Equal Weight
2015-02-02,0.012685,0.013280,0.014093
2015-02-03,0.010725,0.013128,0.014967
2015-02-04,-0.001395,-0.003959,-0.003613
2015-02-05,0.011512,0.010517,0.010890
2015-02-06,-0.008846,-0.000934,-0.001809
2015-02-09,-0.004919,-0.002636,-0.001863
2015-02-10,0.013034,0.008158,0.009456
2015-02-11,0.004064,0.001488,0.001164
2015-02-12,0.007204,0.004296,0.010112
2015-02-13,0.005571,0.004767,0.003182
2015-02-17,0.002130,0.000456,0.001294
2015-02-18,0.001016,0.000050,-0.002914
2015-02-19,0.000815,-0.000775,-0.002975
2015-02-20,0.008484,0.003299,0.006546
2015-02-23,0.008749,-0.001030,0.000993
2015-02-24,0.000171,0.004901,0.003616
2015-02-25,-0.005587,-0.000445,-0.001724
2015-02-26,0.002737,0.001014,0.000090
2015-02-27,-0.005318,-0.000980,-0.002659
2015-03-02,0.009945,0.004424,0.006290
2015-03-03,-0.008942,-0.004002,-0.005447
2015-03-04,-0.001952,-0.007061,-0.004895
2015-03-05,0.003639,0.000531,0.001211
2015-03-06,-0.014522,-0.018428,-0.016477
2015-03-09,0.009412,0.002691,0.005013
2015-03-10,-0.013946,-0.015181,-0.014935
2015-03-11,-0.005837,-0.000697,-0.001974
2015-03-12,0.009747,0.014387,0.011802
2015-03-13,-0.003171,-0.005759,-0.004841
2015-03-16,0.016538,0.011359,0.013061
2015-03-17,-0.001019,-0.002759,-0.003506
2015-03-18,0.012188,0.012598,0.012908
2015-03-19,0.000285,-0.006927,-0.006312
2015-03-20,0.004631,0.009931,0.008086
2015-03-23,-0.003618,0.001352,-0.001671
2015-03-24,-0.006492,-0.005345,-0.006719
2015-03-25,-0.025338,-0.014900,-0.017661
2015-03-26,-0.000754,-0.004383,-0.002845
2015-03-27,0.005571,-0.001081,0.001190
2015-03-30,0.015423,0.013776,0.015240
2015-03-31,-0.013935,-0.007272,-0.011101
2015-04-01,-0.005937,0.000195,-0.000580
2015-04-02,0.002112,0.004481,0.003074
2015-04-06,0.010633,0.012730,0.010011
2015-04-07,-0.000243,0.000084,-0.002259
2015-04-08,0.001247,0.001897,-0.000027
2015-04-09,0.008230,0.006856,0.003931
2015-04-10,0.005391,0.004652,0.005512
2015-04-13,-0.006462,-0.005538,-0.003741
2015-04-14,-0.001158,-0.001416,0.003225
2015-04-15,0.000232,0.007118,0.006303
2015-04-16,0.004022,-0.003342,0.000326
2015-04-17,-0.014436,-0.010662,-0.011449
2015-04-20,0.008681,0.010294,0.008727
2015-04-21,-0.002666,-0.004618,-0.004256
2015-04-22,0.003799,0.007560,0.005175
2015-04-23,0.003584,0.002748,0.001298
