,AAPL,MSFT,NVDA,JNJ,UNH,JPM,GS,PG,KO,XOM,CAT,HON,VZ,PLD,LIN
2015-01-31,0.0450,0.0827,0.0000,0.0667,0.0000,0.0550,0.0667,0.2000,0.1388,0.0000,0.0726,0.0667,0.0667,0.0000,0.1392
2015-02-28,0.0425,0.0827,0.0000,0.0667,0.0000,0.0550,0.0000,0.0418,0.1388,0.0000,0.0000,0.0667,0.1667,0.2000,0.1392
2015-03-31,0.1030,0.1221,0.2000,0.0667,0.0000,0.0550,0.0000,0.0418,0.0314,0.0000,0.0000,0.0667,0.1667,0.0074,0.1392
2015-04-30,0.1030,0.0005,0.1984,0.0667,0.1687,0.0175,0.0000,0.0418,0.0314,0.0000,0.0000,0.0667,0.1667,0.1387,0.0000
2015-05-31,0.1030,0.0005,0.1195,0.0667,0.0143,0.0175,0.0000,0.1132,0.0314,0.0972,0.1315,0.0000,0.1667,0.1387,0.0000
2015-06-30,0.1508,0.2000,0.1195,0.0000,0.0000,0.0000,0.0175,0.0000,0.0333,0.0163,0.1315,0.0000,0.2000,0.1311,0.0000
2015-07-31,0.1508,0.0011,0.0862,0.0000,0.1000,0.0000,0.0175,0.2000,0.0333,0.0163,0.1315,0.0000,0.2000,0.0633,0.0000
2015-08-31,0.1508,0.0011,0.0862,0.0000,0.1769,0.0231,0.0175,0.2000,0.0333,0.0000,0.0000,0.0000,0.0478,0.0633,0.2000
2015-09-30,0.0688,0.0011,0.0862,0.0000,0.1769,0.0231,0.1523,0.0000,0.0333,0.0000,0.1652,0.0000,0.0478,0.0453,0.2000
2015-10-31,0.0688,0.0011,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.1616,0.0000,0.2000,0.0000,0.0000,0.0453,0.1233
2015-11-30,0.0688,0.2000,0.2000,0.0000,0.2000,0.0310,0.0252,0.0000,0.1068,0.0449,0.0000,0.0000,0.0000,0.0000,0.1233
