Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2015-06-29,1.044302,1.049208,1.045374,1.033672
2015-06-30,1.045782,1.047821,1.046203,1.034200
2015-07-01,1.055950,1.054573,1.053718,1.041758
2015-07-02,1.051892,1.056619,1.053164,1.041584
2015-07-06,1.049961,1.052141,1.048915,1.037593
2015-07-07,1.047275,1.059615,1.052894,1.042874
2015-07-08,1.032001,1.048081,1.038509,1.029042
2015-07-09,1.031590,1.045121,1.037144,1.027403
2015-07-10,1.047851,1.056374,1.049871,1.039903
2015-07-13,1.060036,1.068636,1.061039,1.050503
2015-07-14,1.065038,1.072920,1.067334,1.056532
2015-07-15,1.069003,1.074091,1.068151,1.057290
2015-07-16,1.075256,1.086673,1.074208,1.063284
2015-07-17,1.076028,1.083915,1.072119,1.060804
2015-07-20,1.078861,1.086772,1.072236,1.061371
2015-07-21,1.073385,1.086850,1.067995,1.056512
2015-07-22,1.057812,1.066478,1.058007,1.046907
2015-07-23,1.057070,1.062952,1.053708,1.042865
2015-07-24,1.046506,1.055539,1.042965,1.032431
2015-07-27,1.037208,1.048885,1.035329,1.025340
2015-07-28,1.052595,1.060074,1.050295,1.039638
2015-07-29,1.060501,1.067824,1.057320,1.046377
2015-07-30,1.060000,1.069754,1.054016,1.041897
2015-07-31,1.058762,1.069126,1.050301,1.038478
2015-08-03,1.054940,1.062995,1.047482,1.035823
2015-08-04,1.052878,1.055908,1.044223,1.032271
2015-08-05,1.063841,1.059749,1.049512,1.037105
2015-08-06,1.053594,1.057759,1.046403,1.034321
2015-08-07,1.060158,1.055152,1.052017,1.038191
2015-08-10,1.076896,1.073305,1.069647,1.054963
2015-08-11,1.059448,1.059088,1.057555,1.044046
2015-08-12,1.060119,1.064342,1.059261,1.045820
2015-08-13,1.057976,1.059280,1.056185,1.042698
2015-08-14,1.062973,1.061965,1.059480,1.045545
2015-08-17,1.072961,1.067365,1.064706,1.050593
2015-08-18,1.075498,1.065854,1.063758,1.049352
2015-08-19,1.064101,1.053223,1.053175,1.038970
2015-08-20,1.042364,1.040225,1.035476,1.022809
2015-08-21,1.001619,1.006201,1.001473,0.990244
2015-08-24,0.965390,0.971962,0.963371,0.953146
2015-08-25,0.952126,0.959926,0.949166,0.938871
2015-08-26,0.997414,0.997576,0.987660,0.975929
2015-08-27,1.023248,1.018828,1.011423,0.998439
2015-08-28,1.020973,1.018848,1.011676,0.998693
2015-08-31,1.011257,1.013645,1.005949,0.992964
2015-09-01,0.977548,0.984068,0.974686,0.963132
2015-09-02,1.001783,1.000441,0.992142,0.979328
2015-09-03,1.000540,1.000625,0.992746,0.980263
2015-09-04,0.982868,0.984842,0.974170,0.962184
2015-09-08,1.015557,1.008435,0.998813,0.985644
2015-09-09,1.001134,0.995239,0.984634,0.971568
2015-09-10,1.012210,1.003065,0.990962,0.977431
2015-09-11,1.018782,1.008152,0.994879,0.981219
2015-09-14,1.016821,1.005972,0.992953,0.979436
2015-09-15,1.031176,1.020970,1.007828,0.993914
2015-09-16,1.037388,1.031236,1.016648,1.002689
2015-09-17,1.039916,1.031796,1.012898,0.999228
2015-09-18,1.027460,1.021810,0.997549,0.984630
2015-09-21,1.034642,1.030384,1.005350,0.992012
2015-09-22,1.022010,1.019728,0.993832,0.981090
2015-09-23,1.020670,1.015999,0.989555,0.976655
2015-09-24,1.018378,1.018775,0.985300,0.973559
2015-09-25,1.008779,1.017658,0.987314,0.975830
2015-09-28,0.992221,1.002247,0.971237,0.961017
2015-09-29,1.000704,1.006844,0.976130,0.965951
2015-09-30,1.020429,1.015835,0.989218,0.977674
2015-10-01,1.017994,1.014696,0.987343,0.975364
2015-10-02,1.035982,1.027996,1.000501,0.987905
2015-10-05,1.051653,1.048808,1.020101,1.006937
2015-10-06,1.045876,1.046322,1.020758,1.007313
2015-10-07,1.053519,1.052435,1.027947,1.014805
2015-10-08,1.057878,1.056273,1.034815,1.021910
2015-10-09,1.064559,1.061123,1.036125,1.023350
2015-10-12,1.073467,1.064171,1.039174,1.026144
2015-10-13,1.072957,1.064867,1.036410,1.023211
2015-10-14,1.071128,1.060795,1.033280,1.020206
2015-10-15,1.077553,1.069206,1.044276,1.030849
2015-10-16,1.082680,1.067490,1.046711,1.033381
2015-10-19,1.084292,1.069012,1.046856,1.033475
2015-10-20,1.086554,1.073365,1.051301,1.037725
2015-10-21,1.077746,1.059162,1.042915,1.030055
2015-10-22,1.091759,1.073137,1.063030,1.049988
2015-10-23,1.124126,1.089555,1.079956,1.065282
2015-10-26,1.125320,1.084301,1.077644,1.062674
2015-10-27,1.127884,1.082674,1.075089,1.060246
2015-10-28,1.138099,1.098526,1.087698,1.071362
2015-10-29,1.129940,1.104371,1.086388,1.071386
2015-10-30,1.127727,1.093676,1.082538,1.067382
2015-11-02,1.139682,1.104541,1.095349,1.079103
2015-11-03,1.140050,1.105716,1.097998,1.081452
2015-11-04,1.130633,1.093821,1.092922,1.076451
2015-11-05,1.131791,1.094817,1.092943,1.076599
2015-11-06,1.162338,1.121118,1.103096,1.082905
2015-11-09,1.152487,1.110642,1.089712,1.070091
2015-11-10,1.146405,1.105021,1.088374,1.069291
2015-11-11,1.143532,1.098406,1.086826,1.068312
2015-11-12,1.132361,1.083585,1.070486,1.052484
2015-11-13,1.118117,1.079032,1.063079,1.045684
2015-11-16,1.138333,1.098469,1.082269,1.064625
2015-11-17,1.137703,1.091448,1.076402,1.058897
2015-11-18,1.160772,1.115085,1.094603,1.076206
2015-11-19,1.150842,1.107359,1.093956,1.076343
2015-11-20,1.161615,1.114072,1.096666,1.078068
2015-11-23,1.154518,1.107996,1.092643,1.075015
2015-11-24,1.156348,1.114643,1.096022,1.078611
2015-11-25,1.155821,1.114297,1.093854,1.076200
2015-11-27,1.159919,1.116809,1.097331,1.079504
2015-11-30,1.158586,1.116292,1.094933,1.076214
2015-12-01,1.179197,1.131148,1.105230,1.085791
2015-12-02,1.178187,1.124410,1.094716,1.075599
2015-12-03,1.163345,1.110889,1.081105,1.062895
2015-12-04,1.196668,1.138991,1.106586,1.087501
2015-12-07,1.187740,1.124842,1.097471,1.079931
2015-12-08,1.186582,1.118599,1.086774,1.069272
2015-12-09,1.171690,1.107903,1.078421,1.061781
2015-12-10,1.178592,1.113043,1.081699,1.064660
2015-12-11,1.159893,1.096128,1.064789,1.049155
2015-12-14,1.166448,1.101997,1.070422,1.054706
2015-12-15,1.175306,1.114131,1.084061,1.068104
2015-12-16,1.194593,1.122013,1.101392,1.084832
2015-12-17,1.181843,1.107064,1.084546,1.068728
2015-12-18,1.157606,1.084169,1.064575,1.049231
2015-12-21,1.170582,1.097400,1.074108,1.058032
2015-12-22,1.177786,1.101438,1.084513,1.068233
2015-12-23,1.187292,1.116301,1.098251,1.081545
2015-12-24,1.186352,1.113105,1.095232,1.078559
2015-12-28,1.184698,1.109959,1.092529,1.076045
2015-12-29,1.198993,1.122820,1.103601,1.086533
2015-12-30,1.191095,1.112394,1.095103,1.078360
2015-12-31,1.176511,1.099840,1.083704,1.067159
2016-01-04,1.159804,1.087934,1.070069,1.053923
2016-01-05,1.167196,1.084800,1.072240,1.056495
2016-01-06,1.146927,1.061950,1.057363,1.042944
2016-01-07,1.113409,1.027013,1.029825,1.017582
2016-01-08,1.101573,1.022590,1.020053,1.008113
2016-01-11,1.099637,1.027705,1.019692,1.008086
2016-01-12,1.114063,1.040257,1.027728,1.015783
2016-01-13,1.088929,1.015171,1.009398,0.998844
2016-01-14,1.101762,1.029514,1.022663,1.011669
2016-01-15,1.070317,0.994385,0.998999,0.989686
2016-01-19,1.077883,0.995474,1.003423,0.994945
2016-01-20,1.078240,0.992302,0.992630,0.984085
2016-01-21,1.078034,0.991815,0.996505,0.988790
2016-01-22,1.097759,1.019811,1.018775,1.009791
2016-01-25,1.089686,1.003988,1.002938,0.995377
2016-01-26,1.109633,1.019202,1.024165,1.016713
2016-01-27,1.097441,0.998846,1.014074,1.008105
2016-01-28,1.099243,1.004875,1.022290,1.015921
2016-01-29,1.145244,1.040753,1.051446,1.043109
2016-02-01,1.144454,1.038764,1.049137,1.041532
2016-02-02,1.116996,1.010319,1.024862,1.019129
2016-02-03,1.117750,1.018480,1.039868,1.034498
2016-02-04,1.120430,1.021772,1.048997,1.042415
2016-02-05,1.083642,0.995359,1.035925,1.031108
2016-02-08,1.070829,0.980703,1.023050,1.020572
2016-02-09,1.074875,0.980652,1.024297,1.022159
2016-02-10,1.077774,0.979080,1.018378,1.015861
2016-02-11,1.070614,0.970773,1.002535,1.000765
2016-02-12,1.082546,0.985195,1.023381,1.020082
2016-02-16,1.108727,1.003836,1.041180,1.036188
2016-02-17,1.128907,1.017705,1.054865,1.048708
2016-02-18,1.148337,1.036082,1.057792,1.051496
2016-02-19,1.151880,1.037053,1.056656,1.050341
2016-02-22,1.171926,1.051808,1.068020,1.060775
2016-02-23,1.160629,1.037957,1.053700,1.047687
2016-02-24,1.164834,1.043722,1.056650,1.050557
2016-02-25,1.175453,1.053822,1.067533,1.061093
2016-02-26,1.168530,1.049308,1.063547,1.056196
2016-02-29,1.157865,1.042366,1.055036,1.047947
2016-03-01,1.193715,1.066244,1.086274,1.077047
2016-03-02,1.196251,1.074758,1.091225,1.082071
2016-03-03,1.193585,1.070745,1.097345,1.088069
2016-03-04,1.193666,1.070375,1.103185,1.094051
2016-03-07,1.185835,1.069080,1.103334,1.094542
2016-03-08,1.181950,1.065467,1.094223,1.086975
2016-03-09,1.189510,1.068252,1.098619,1.091360
2016-03-10,1.188375,1.065320,1.097632,1.090966
2016-03-11,1.206467,1.073355,1.110127,1.102225
2016-03-14,1.207943,1.072719,1.108615,1.100609
2016-03-15,1.211569,1.073703,1.109603,1.101645
2016-03-16,1.223857,1.083448,1.116566,1.107839
2016-03-17,1.221864,1.086990,1.126615,1.118452
2016-03-18,1.230504,1.093164,1.133117,1.123575
2016-03-21,1.232716,1.095160,1.133712,1.124218
2016-03-22,1.237255,1.093915,1.132837,1.123166
2016-03-23,1.245778,1.099268,1.131309,1.121803
2016-03-24,1.243519,1.102158,1.131478,1.122274
2016-03-28,1.242908,1.101700,1.133350,1.124115
2016-03-29,1.260897,1.113397,1.144239,1.134903
2016-03-30,1.267680,1.115721,1.150388,1.140410
2016-03-31,1.263141,1.112033,1.147590,1.137482
2016-04-01,1.274955,1.123467,1.156920,1.146501
2016-04-04,1.272317,1.117293,1.153089,1.143349
2016-04-05,1.260771,1.111395,1.142785,1.133706
2016-04-06,1.269354,1.113817,1.148732,1.139485
2016-04-07,1.255454,1.094844,1.132327,1.123820
2016-04-08,1.254777,1.096850,1.136059,1.127654
2016-04-11,1.257391,1.097839,1.136850,1.127342
2016-04-12,1.264269,1.105144,1.146393,1.136261
2016-04-13,1.279532,1.119670,1.161452,1.147948
2016-04-14,1.280651,1.122825,1.163376,1.149422
2016-04-15,1.278588,1.122164,1.162410,1.149139
2016-04-18,1.278451,1.125984,1.166117,1.152953
2016-04-19,1.281539,1.133443,1.176438,1.163498
2016-04-20,1.286597,1.135120,1.174333,1.158895
2016-04-21,1.282119,1.122416,1.164805,1.148477
2016-04-22,1.264397,1.125794,1.164359,1.149930
2016-04-25,1.265700,1.125101,1.163504,1.149814
2016-04-26,1.260474,1.120516,1.162433,1.147668
2016-04-27,1.245481,1.134566,1.162805,1.148403
2016-04-28,1.223574,1.119350,1.150307,1.137260
2016-04-29,1.214747,1.114984,1.146550,1.134190
2016-05-02,1.221941,1.124991,1.154642,1.141892
2016-05-03,1.220368,1.116371,1.145358,1.133542
2016-05-04,1.208160,1.109777,1.137002,1.126896
2016-05-05,1.212372,1.108687,1.136196,1.126291
2016-05-06,1.214393,1.116283,1.141200,1.131398
2016-05-09,1.215320,1.111609,1.137607,1.128561
2016-05-10,1.230315,1.126277,1.152617,1.142504
2016-05-11,1.221746,1.123249,1.144978,1.134823
2016-05-12,1.213511,1.120615,1.143768,1.134521
2016-05-13,1.245152,1.145298,1.144932,1.132927
2016-05-16,1.268837,1.163149,1.158856,1.145976
2016-05-17,1.262054,1.154912,1.151445,1.137845
2016-05-18,1.270358,1.158490,1.155418,1.139346
2016-05-19,1.266485,1.152561,1.147578,1.132198
2016-05-20,1.278585,1.159812,1.151809,1.135520
2016-05-23,1.277055,1.157655,1.151161,1.134694
2016-05-24,1.298027,1.177444,1.165973,1.148317
2016-05-25,1.304941,1.185863,1.175361,1.156858
2016-05-26,1.305655,1.188099,1.173111,1.155142
2016-05-27,1.310509,1.193842,1.177953,1.159794
2016-05-31,1.313108,1.201373,1.177734,1.158887
2016-06-01,1.312172,1.203785,1.179164,1.160405
2016-06-02,1.319056,1.209224,1.182588,1.163972
2016-06-03,1.317065,1.211200,1.181972,1.164789
2016-06-06,1.324200,1.214910,1.189734,1.172202
2016-06-07,1.322861,1.221227,1.192101,1.174948
2016-06-08,1.329566,1.226614,1.197830,1.180659
2016-06-09,1.341779,1.237182,1.202050,1.185409
2016-06-10,1.329993,1.233382,1.195203,1.180572
2016-06-13,1.321736,1.230629,1.187237,1.172833
2016-06-14,1.322326,1.231868,1.183980,1.170705
2016-06-15,1.322348,1.232894,1.183551,1.169847
2016-06-16,1.330052,1.239572,1.190558,1.176901
2016-06-17,1.314576,1.234790,1.184345,1.170764
2016-06-20,1.324039,1.241075,1.190216,1.176079
2016-06-21,1.326142,1.241273,1.194096,1.179615
2016-06-22,1.323553,1.243447,1.192544,1.178264
2016-06-23,1.339806,1.262834,1.208661,1.192958
2016-06-24,1.299438,1.218130,1.163693,1.152106
2016-06-27,1.289986,1.200937,1.147868,1.138033
2016-06-28,1.309899,1.216880,1.167483,1.156393
2016-06-29,1.325497,1.236730,1.185811,1.173591
2016-06-30,1.340811,1.250657,1.201598,1.189272
2016-07-01,1.338498,1.248742,1.201710,1.189629
2016-07-05,1.345205,1.243940,1.196739,1.186663
2016-07-06,1.351149,1.248370,1.202445,1.191422
2016-07-07,1.353533,1.254704,1.201227,1.188824
2016-07-08,1.371514,1.282891,1.220876,1.206564
2016-07-11,1.377915,1.291971,1.225776,1.210583
2016-07-12,1.382369,1.307265,1.236674,1.219394
2016-07-13,1.386060,1.309388,1.240499,1.223446
2016-07-14,1.393469,1.318880,1.247959,1.229390
2016-07-15,1.391106,1.319236,1.248698,1.230307
2016-07-18,1.395038,1.319875,1.250433,1.231711
2016-07-19,1.405940,1.324352,1.251025,1.232831
2016-07-20,1.411591,1.327249,1.256289,1.236506
2016-07-21,1.404039,1.321489,1.251591,1.232439
2016-07-22,1.413264,1.332132,1.256290,1.237313
