,CAGR (%),Gesamtrendite (%),Annualisierte Vola. (%),Sharpe Ratio,Sortino Ratio,Max. Drawdown (%),Calmar Ratio,"VaR 95 % (tägl., %)",Hit Rate (%)
Markowitz MVO,23.1400,685.0700,21.0000,0.9114,1.1603,-34.2800,0.6749,-1.9600,55.7500
Random Forest,22.1200,623.2700,19.0300,0.9524,1.2541,-33.7700,0.6550,-1.8100,54.9100
Equal Weight,20.0300,509.6600,17.5600,0.9131,1.1236,-33.2500,0.6025,-1.5900,55.2700
Risk Parity,16.9200,370.1800,16.4500,0.7858,0.9621,-32.4400,0.5217,-1.4600,55.3100
