Kostensatz (bp),Strategie,CAGR (%),Vola (%),Sharpe,Max. DD (%)
25,Risk Parity,16.86347274045343,16.443807343348936,0.782268514332622,-32.44200004307802
30,Markowitz MVO,22.730220184071094,20.99561758534542,0.8921014163043464,-34.47112897301663
30,Random Forest,21.257304607872097,19.022679663198,0.907196300070107,-33.851046419216686
30,Equal Weight,19.947801758731387,17.555121561280583,0.9084415452813335,-33.250359908183476
30,Risk Parity,16.843610474459723,16.443408872774,0.7810795543572109,-32.44260899901303
35,Markowitz MVO,22.628754478023883,20.995274539169433,0.8872832047644579,-34.51830515289776
35,Random Forest,21.04225558699524,19.02176578453872,0.8959344668646658,-33.87052505509671
35,Equal Weight,19.92685648193586,17.554736360191505,0.9072683380226004,-33.25108299526433
35,Risk Parity,16.82374854646993,16.443026503870165,0.779889793612607,-32.443217954948075
40,Markowitz MVO,22.527362110836346,20.994971464087296,0.8824666488605669,-34.5654518345112
40,Random Forest,20.827554456008745,19.02099174550486,0.8846833372915753,-33.89000082485151
40,Equal Weight,19.90591173207057,17.554366293756697,0.9060943280947481,-33.2518060823452
40,Risk Parity,16.803886954607282,16.442660237760748,0.7786992353708688,-32.44382691088308
45,Markowitz MVO,22.426043034948997,20.99470836183006,0.8776517738369212,-34.61256903359894
45,Random Forest,20.613200704852307,19.02035756316886,0.8734431332154454,-33.909473728481196
45,Equal Weight,19.884967507207453,17.55401136293335,0.9049195183244433,-33.252529169426055
45,Risk Parity,16.784025696992487,16.442310075521863,0.7775078829114428,-32.444435866818154
50,Markowitz MVO,22.32479720282834,20.99448523390054,0.8728386049322437,-34.65965676589589
50,Random Forest,20.399193824137306,19.019863251520515,0.8622140762671517,-33.928943765985565
50,Equal Weight,19.86402380541592,17.55367156863958,0.9037439115448479,-33.25325225650694
50,Risk Parity,16.76416477174385,16.44197601818239,0.776315739521124,-32.44504482275315
55,Markowitz MVO,22.223624566967516,20.994302081573274,0.8680271673790201,-34.70671504713028
55,Random Forest,20.185533305145633,19.01950882146543,0.8509963878183134,-33.94841093736483
55,Equal Weight,19.843080624762987,17.55334691175441,0.9025675105955913,-33.25397534358781
55,Risk Parity,16.744304176977188,16.44165806672398,0.775122808494004,-32.445653778688204
60,Markowitz MVO,22.122525079886035,20.9941589058945,0.863217486402744,-34.75374389302288
60,Random Forest,19.97221863982841,19.019294280823793,0.8397902889558001,-33.96787524261883
60,Equal Weight,19.82213796331278,17.55303739311778,0.901390318322705,-33.25469843066866
60,Risk Parity,16.724443910805785,16.441356222081016,0.7739290931314197,-32.44626273462326
65,Markowitz MVO,22.021498694129548,20.99405570768213,0.8584095872211644,-34.800743319287726
65,Random Forest,19.75924932080617,19.019219634329556,0.8285960004563403,-33.987336681747664
65,Equal Weight,19.801195819127425,17.552743013530513,0.9002123375786388,-33.255421517749525
65,Risk Parity,16.704583971340426,16.44107048514063,0.7727345967419075,-32.44687169055827
70,Markowitz MVO,21.920545362270126,20.993992487525688,0.8536034950435579,-34.84771334163192
70,Random Forest,19.546624841367265,19.01928488362988,0.8174137427610871,-34.0067952547513
70,Equal Weight,19.7802541902661,17.552463773754326,0.8990335712221689,-33.25614460483036
70,Risk Parity,16.68472435668933,16.44080085674267,0.7715393226411531,-32.44748064649331
75,Markowitz MVO,21.819665036906088,20.993969245786353,0.8487992350699775,-34.89465397575543
75,Random Forest,19.334344695467507,19.01949002728496,0.8062437359502901,-34.026250961629735
75,Equal Weight,19.759313074785755,17.552199674511794,0.897854022118404,-33.25686769191123
75,Risk Parity,16.664865064958434,16.440547337679664,0.7703432741519595,-32.44808960242834
80,Markowitz MVO,21.718857670662082,20.99398598259689,0.8439968324905167,-34.94156523735122
80,Random Forest,19.12240837772934,19.019835060768187,0.7950861997179992,-34.045703802382945
80,Equal Weight,19.73837247074044,17.551950716486363,0.896673693138709,-33.25759077899208
80,Risk Parity,16.645006094250814,16.440309928696887,0.769146454604162,-32.44869855836338
85,Markowitz MVO,21.618123216188945,20.994042697861694,0.8391963124845604,-34.98844714210531
85,Random Forest,18.910815383440926,19.020319976466652,0.7839413533468255,-34.065153777010956
85,Equal Weight,19.717432376181996,17.55171690032234,0.8954925871607093,-33.25831386607294
85,Risk Parity,16.625147442667366,16.440088630492244,0.767948867334625,-32.449307514298404
90,Markowitz MVO,21.517461626163815,20.99413939125675,0.834397700220051,-35.035299705696715
90,Random Forest,18.69956520855545,19.020944763681978,0.7728094156827771,-34.084600885513815
90,Equal Weight,19.696492789159414,17.55149822662487,0.8943107070682154,-33.25903695315386
90,Risk Parity,16.605289108306344,16.439883443716358,0.7667505156871612,-32.44991647023344
95,Markowitz MVO,21.41687285329006,20.994276062229684,0.8296010208527433,-35.08212294379746
95,Random Forest,18.488657349690364,19.0217094086315,0.7616906051101711,-34.10404512789143
95,Equal Weight,19.675553707719583,17.55129469595993,0.8931280557512309,-33.25976004023468
95,Risk Parity,16.585431089263338,16.43969436897249,0.7655514030124849,-32.450525426168454
100,Markowitz MVO,21.316356850297268,20.99445270999975,0.8248062995254651,-35.12891687207277
100,Random Forest,18.278091304126498,19.02261389444979,0.7505851395266138,-34.123486504143806
100,Equal Weight,19.65461512990636,17.551106308854347,0.8919446361058603,-33.26048312731559
100,Risk Parity,16.565573383631538,16.439521406816556,0.7643515326681768,-32.4511343821035
