Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2015-07-21,1.071253,1.069452,1.060246,1.049234
2015-07-22,1.056791,1.045219,1.050152,1.039551
2015-07-23,1.055586,1.038966,1.045815,1.035480
2015-07-24,1.044770,1.031617,1.035084,1.025053
2015-07-27,1.035433,1.023299,1.027464,1.017979
2015-07-28,1.050678,1.038039,1.042114,1.031985
2015-07-29,1.058569,1.044758,1.049037,1.038633
2015-07-30,1.057980,1.047695,1.045674,1.034083
2015-07-31,1.056882,1.043726,1.041888,1.030592
2015-08-03,1.053101,1.034697,1.039055,1.027926
2015-08-04,1.051306,1.024908,1.035763,1.024351
2015-08-05,1.062042,1.029742,1.040974,1.029122
2015-08-06,1.051591,1.030660,1.037848,1.026318
2015-08-07,1.056060,1.032920,1.042911,1.029757
2015-08-10,1.071945,1.054304,1.060172,1.046179
2015-08-11,1.054833,1.039952,1.048002,1.035198
2015-08-12,1.054846,1.046143,1.049654,1.036911
2015-08-13,1.052951,1.039791,1.046591,1.033802
2015-08-14,1.057940,1.042646,1.049843,1.036612
2015-08-17,1.067819,1.048519,1.054984,1.041584
2015-08-18,1.070567,1.047541,1.054021,1.040336
2015-08-19,1.059125,1.033982,1.043460,1.029971
2015-08-20,1.037330,1.018601,1.025729,1.013774
2015-08-21,0.996156,0.987198,0.991395,0.980900
2015-08-24,0.958829,0.949535,0.952878,0.943374
2015-08-25,0.945540,0.938690,0.938648,0.929060
2015-08-26,0.989059,0.975136,0.975850,0.964913
2015-08-27,1.014104,0.998573,0.999012,0.986878
2015-08-28,1.011598,0.999050,0.999250,0.987115
2015-08-31,1.002106,0.993875,0.993549,0.981404
2015-09-01,0.968953,0.962613,0.962154,0.951432
2015-09-02,0.991709,0.978485,0.979182,0.967247
2015-09-03,0.990574,0.979269,0.979737,0.968137
2015-09-04,0.972886,0.962278,0.961220,0.950103
2015-09-08,1.004678,0.985735,0.985200,0.972965
2015-09-09,0.990319,0.972420,0.971088,0.958945
2015-09-10,1.000772,0.980938,0.977286,0.964696
2015-09-11,1.006905,0.987170,0.981123,0.968411
2015-09-14,1.004947,0.985634,0.979210,0.966639
2015-09-15,1.019014,0.999743,0.993758,0.980807
2015-09-16,1.025098,1.009113,1.002398,0.989407
2015-09-17,1.028155,1.010013,0.998612,0.985920
2015-09-18,1.015414,1.001656,0.983312,0.971368
2015-09-21,1.021805,1.010727,0.990956,0.978604
2015-09-22,1.009779,0.998475,0.979514,0.967746
2015-09-23,1.008115,0.995463,0.975241,0.963317
2015-09-24,1.005353,0.997020,0.970862,0.960103
2015-09-25,0.995133,0.996728,0.972732,0.962227
2015-09-28,0.979414,0.979643,0.956711,0.947463
2015-09-29,0.988972,0.985331,0.961447,0.952258
2015-09-30,1.007777,0.994081,0.974203,0.963704
2015-10-01,1.005485,0.993138,0.972334,0.961398
2015-10-02,1.023451,1.006781,0.985169,0.973649
2015-10-05,1.039260,1.027917,1.004218,0.992162
2015-10-06,1.033136,1.025451,1.004794,0.992461
2015-10-07,1.041392,1.031996,1.011822,0.999799
2015-10-08,1.046638,1.035675,1.018523,1.006740
2015-10-09,1.052431,1.039708,1.019755,1.008109
2015-10-12,1.061494,1.044949,1.022714,1.010832
2015-10-13,1.060122,1.045642,1.019966,1.007918
2015-10-14,1.057925,1.042566,1.016777,1.004873
2015-10-15,1.063649,1.052491,1.027464,1.015228
2015-10-16,1.068055,1.051751,1.029813,1.017685
2015-10-19,1.069460,1.053185,1.029931,1.017752
2015-10-20,1.071517,1.057676,1.034265,1.021894
2015-10-21,1.063148,1.042904,1.025940,1.014276
2015-10-22,1.077583,1.056189,1.045397,1.033587
2015-10-23,1.106402,1.069222,1.061607,1.048253
2015-10-26,1.108154,1.063874,1.059242,1.045602
2015-10-27,1.110807,1.062550,1.056691,1.043185
2015-10-28,1.119732,1.078693,1.068930,1.053977
2015-10-29,1.110977,1.082050,1.067558,1.053912
2015-10-30,1.109338,1.074436,1.063691,1.049905
2015-11-02,1.120856,1.088319,1.076181,1.061338
2015-11-03,1.120587,1.089106,1.078737,1.063599
2015-11-04,1.111289,1.077376,1.073707,1.058633
2015-11-05,1.112625,1.076942,1.073698,1.058750
