Date,Markowitz MVO,Random Forest,Equal Weight
2018-04-02,0.970443,0.975064,0.980759
2018-04-03,0.990031,0.986115,0.995889
2018-04-04,1.000140,0.990361,1.006821
2018-04-05,0.990435,0.996955,1.011728
2018-04-06,0.961140,0.977181,0.990588
2018-04-09,0.963868,0.975992,0.993909
2018-04-10,1.003943,0.994932,1.013726
2018-04-11,0.992911,0.989989,1.005345
2018-04-12,1.019867,0.998623,1.017481
2018-04-13,1.011556,1.002061,1.015772
2018-04-16,1.019895,1.009366,1.025569
2018-04-17,1.045389,1.012825,1.036849
2018-04-18,1.042878,1.018999,1.034825
2018-04-19,1.023535,0.999892,1.027093
2018-04-20,1.019317,0.987128,1.018564
2018-04-23,1.007630,0.983003,1.015650
2018-04-24,0.991147,0.950437,1.002641
2018-04-25,0.979588,0.950530,1.001677
2018-04-26,1.006059,0.958373,1.013431
2018-04-27,1.012769,0.954197,1.014176
2018-04-30,1.002167,0.949756,1.003654
2018-05-01,1.010348,0.947820,1.004031
2018-05-02,1.002649,0.939201,0.996417
2018-05-03,1.020175,0.942899,0.999120
2018-05-04,1.039727,0.958639,1.011634
2018-05-07,1.064558,0.967409,1.017380
2018-05-08,1.066487,0.964355,1.015236
2018-05-09,1.080104,0.979268,1.024456
2018-05-10,1.096941,0.989195,1.037113
2018-05-11,1.088284,0.992377,1.040084
2018-05-14,1.095290,0.993126,1.041798
2018-05-15,1.065412,0.981329,1.031159
2018-05-16,1.069700,0.988839,1.033365
2018-05-17,1.073260,0.991699,1.033310
2018-05-18,1.072066,0.993853,1.031619
2018-05-21,1.074939,1.006930,1.040134
2018-05-22,1.066857,0.998537,1.036934
2018-05-23,1.080871,1.004873,1.041499
2018-05-24,1.079232,1.001985,1.035814
2018-05-25,1.083874,1.000539,1.034308
2018-05-29,1.077454,0.992091,1.021850
2018-05-30,1.093211,1.003826,1.036050
2018-05-31,1.085506,0.981414,1.025199
2018-06-01,1.104178,0.988892,1.036626
2018-06-04,1.122939,0.991954,1.042168
2018-06-05,1.124426,0.992085,1.041843
2018-06-06,1.131542,1.004874,1.053288
2018-06-07,1.123804,1.013350,1.054625
2018-06-08,1.124415,1.019825,1.057858
2018-06-11,1.123010,1.024792,1.057559
2018-06-12,1.128698,1.026729,1.057664
2018-06-13,1.124944,1.013201,1.050157
2018-06-14,1.137485,1.006017,1.050871
2018-06-15,1.130628,1.005477,1.047207
2018-06-18,1.129442,0.991189,1.042260
2018-06-19,1.112019,0.976967,1.034702
2018-06-20,1.118336,0.973681,1.034056
2018-06-21,1.101211,0.965347,1.028542
2018-06-22,1.087707,0.971889,1.031955
2018-06-25,1.049677,0.961413,1.018978
2018-06-26,1.056093,0.959850,1.019984
2018-06-27,1.036230,0.953857,1.015051
2018-06-28,1.048588,0.961499,1.024380
2018-06-29,1.039018,0.959728,1.023453
2018-07-02,1.051370,0.963423,1.027557
2018-07-03,1.039655,0.957989,1.022638
2018-07-05,1.059727,0.974041,1.035094
2018-07-06,1.071003,0.977332,1.041001
2018-07-09,1.078485,0.964491,1.050083
2018-07-10,1.089938,0.986002,1.057026
2018-07-11,1.074898,0.976390,1.045743
2018-07-12,1.086123,0.975551,1.054979
2018-07-13,1.085511,0.978881,1.056479
2018-07-16,1.079374,0.981796,1.056205
2018-07-17,1.078344,0.989224,1.059527
2018-07-18,1.079936,0.985200,1.058634
2018-07-19,1.078329,0.982126,1.054042
2018-07-20,1.073311,0.981573,1.055965
2018-07-23,1.070806,0.979615,1.057159
2018-07-24,1.070114,0.984774,1.065450
2018-07-25,1.082535,0.991318,1.076461
2018-07-26,1.095035,0.999141,1.082833
2018-07-27,1.086637,1.003131,1.080298
2018-07-30,1.065642,0.995930,1.073797
2018-07-31,1.068000,1.002961,1.077832
2018-08-01,1.072943,1.000987,1.076966
2018-08-02,1.085450,1.016280,1.079874
2018-08-03,1.092628,1.020380,1.085162
2018-08-06,1.095464,1.023628,1.084434
2018-08-07,1.101275,1.026597,1.087497
2018-08-08,1.106312,1.023891,1.085418
2018-08-09,1.105150,1.012493,1.082995
2018-08-10,1.097683,1.011116,1.074298
2018-08-13,1.100844,1.011991,1.069832
2018-08-14,1.115208,1.012729,1.075489
2018-08-15,1.106917,1.021905,1.071647
2018-08-16,1.109574,1.036386,1.083840
2018-08-17,1.084410,1.030723,1.088852
2018-08-20,1.091850,1.032158,1.092162
2018-08-21,1.098138,1.037988,1.092328
2018-08-22,1.116178,1.037069,1.091408
2018-08-23,1.124294,1.036556,1.089843
2018-08-24,1.143740,1.039806,1.096981
2018-08-27,1.155433,1.043899,1.108179
2018-08-28,1.157785,1.043629,1.109574
2018-08-29,1.167599,1.045471,1.113898
2018-08-30,1.164440,1.043892,1.109478
2018-08-31,1.171448,1.039879,1.108643
2018-09-04,1.175367,1.038447,1.105588
2018-09-05,1.164745,1.042448,1.108812
2018-09-06,1.156555,1.032630,1.107883
2018-09-07,1.149713,1.024356,1.103854
2018-09-10,1.145222,1.029986,1.103607
2018-09-11,1.143033,1.024905,1.108850
2018-09-12,1.135687,1.033924,1.109622
2018-09-13,1.149449,1.038829,1.117915
2018-09-14,1.160438,1.042844,1.117681
2018-09-17,1.153467,1.048129,1.117325
2018-09-18,1.144651,1.044528,1.117859
2018-09-19,1.147365,1.046519,1.125344
2018-09-20,1.140385,1.058563,1.135328
2018-09-21,1.135042,1.061590,1.135659
2018-09-24,1.138147,1.045810,1.128372
2018-09-25,1.138701,1.034861,1.124319
2018-09-26,1.133571,1.034828,1.119384
2018-09-27,1.138300,1.030590,1.121558
2018-09-28,1.172218,1.039247,1.124518
2018-10-01,1.189458,1.044814,1.136111
2018-10-02,1.188838,1.050738,1.139811
2018-10-03,1.192168,1.041335,1.138910
2018-10-04,1.172617,1.033038,1.131080
2018-10-05,1.156583,1.031667,1.122821
2018-10-08,1.149716,1.037604,1.124587
2018-10-09,1.150459,1.033883,1.121950
2018-10-10,1.094830,1.013428,1.088251
2018-10-11,1.064241,0.989276,1.062133
2018-10-12,1.090013,0.997721,1.073465
2018-10-15,1.072042,1.001340,1.068950
2018-10-16,1.112509,1.017607,1.091368
2018-10-17,1.096857,1.020709,1.091599
2018-10-18,1.083211,1.009029,1.081741
2018-10-19,1.062425,1.042212,1.084423
2018-10-22,1.059387,1.035885,1.081441
2018-10-23,1.036995,1.040159,1.072820
2018-10-24,0.976057,1.039401,1.045535
2018-10-25,1.011247,1.042909,1.063176
2018-10-26,0.983330,1.029147,1.047518
2018-10-29,0.955471,1.031227,1.043211
2018-10-30,0.989622,1.046615,1.063555
2018-10-31,1.012701,1.052567,1.075860
2018-11-01,1.025816,1.056663,1.080256
2018-11-02,1.021870,1.052105,1.076983
2018-11-05,1.019736,1.060714,1.081232
2018-11-06,1.025876,1.068275,1.088881
2018-11-07,1.057079,1.077419,1.108640
2018-11-08,1.043393,1.077628,1.104101
2018-11-09,1.036382,1.081379,1.095169
2018-11-12,0.997592,1.073561,1.072299
2018-11-13,1.010648,1.073798,1.071912
2018-11-14,0.998467,1.068406,1.061796
2018-11-15,1.012965,1.074061,1.073229
2018-11-16,0.954125,1.080655,1.066878
2018-11-19,0.899826,1.073428,1.050226
2018-11-20,0.895914,1.049346,1.029751
2018-11-21,0.888889,1.042045,1.026541
2018-11-23,0.889549,1.040267,1.018980
2018-11-26,0.916404,1.043433,1.033705
2018-11-27,0.924876,1.050070,1.037481
2018-11-28,0.959361,1.061939,1.059495
2018-11-29,0.954656,1.060009,1.056578
2018-11-30,0.971591,1.076659,1.067038
2018-12-03,0.995663,1.075466,1.078512
2018-12-04,0.945726,1.059423,1.045528
2018-12-06,0.947136,1.055701,1.041229
2018-12-07,0.905026,1.039802,1.016299
2018-12-10,0.912404,1.042224,1.018897
2018-12-11,0.907254,1.045517,1.018770
2018-12-12,0.913845,1.046601,1.019636
2018-12-13,0.916925,1.059767,1.023850
2018-12-14,0.899518,1.050680,1.004630
2018-12-17,0.877167,1.023946,0.982628
2018-12-18,0.879285,1.024202,0.985224
2018-12-19,0.855645,1.011600,0.969103
2018-12-20,0.834816,0.997992,0.954545
2018-12-21,0.812149,0.990938,0.937346
2018-12-24,0.790833,0.956003,0.906505
2018-12-26,0.829841,0.988496,0.944554
2018-12-27,0.831232,1.001786,0.952950
2018-12-28,0.835493,0.995459,0.950583
2018-12-31,0.841323,1.002606,0.958877
2019-01-02,0.831594,1.007854,0.959087
2019-01-03,0.803523,0.952156,0.933819
2019-01-04,0.823245,0.985784,0.962786
2019-01-07,0.833288,0.983954,0.967159
2019-01-08,0.838496,0.995515,0.975907
2019-01-09,0.842237,1.001024,0.977371
2019-01-10,0.850012,1.003468,0.984850
2019-01-11,0.860555,0.997264,0.985779
2019-01-14,0.863168,0.992373,0.983974
2019-01-15,0.881862,1.005576,0.992088
2019-01-16,0.890488,1.012313,0.998107
2019-01-17,0.891380,1.018001,1.004522
2019-01-18,0.912075,1.029172,1.019703
2019-01-22,0.900257,1.009904,1.004755
2019-01-23,0.904334,1.010769,1.009831
2019-01-24,0.912412,1.004953,1.009656
2019-01-25,0.920927,1.023686,1.018784
2019-01-28,0.882148,1.022295,0.997694
2019-01-29,0.874300,1.020428,0.995950
2019-01-30,0.891022,1.053351,1.014639
2019-01-31,0.901451,1.055251,1.022049
2019-02-01,0.897817,1.058475,1.025416
2019-02-04,0.901690,1.071380,1.031494
2019-02-05,0.899107,1.077746,1.035556
2019-02-06,0.908736,1.077885,1.034368
2019-02-07,0.899556,1.061925,1.024549
2019-02-08,0.884911,1.058958,1.024240
2019-02-11,0.872373,1.053763,1.022023
2019-02-12,0.894376,1.067518,1.038206
2019-02-13,0.897371,1.067845,1.041184
2019-02-14,0.902060,1.066764,1.033091
2019-02-15,0.921175,1.080659,1.048213
2019-02-19,0.918785,1.079722,1.048279
2019-02-20,0.921641,1.085712,1.053057
2019-02-21,0.910949,1.080813,1.051934
2019-02-22,0.917241,1.086003,1.058117
2019-02-25,0.912171,1.094507,1.060830
2019-02-26,0.904776,1.091496,1.057163
2019-02-27,0.873647,1.092167,1.053788
2019-02-28,0.853215,1.085246,1.047912
2019-03-01,0.864758,1.092958,1.052037
2019-03-04,0.840938,1.094646,1.049125
2019-03-05,0.852518,1.093832,1.049111
2019-03-06,0.840519,1.089888,1.042572
2019-03-07,0.831406,1.080047,1.035706
2019-03-08,0.835954,1.081112,1.036412
2019-03-11,0.862649,1.103586,1.056148
2019-03-12,0.870070,1.108734,1.060154
2019-03-13,0.892009,1.112653,1.070798
2019-03-14,0.891411,1.120041,1.070721
2019-03-15,0.891572,1.130773,1.075327
2019-03-18,0.899415,1.137868,1.079325
2019-03-19,0.911027,1.134062,1.081100
2019-03-20,0.893558,1.127605,1.075730
2019-03-21,0.907897,1.140280,1.087341
2019-03-22,0.888524,1.114642,1.068834
2019-03-25,0.885251,1.104617,1.066951
2019-03-26,0.880890,1.106357,1.074953
2019-03-27,0.876365,1.109558,1.071724
2019-03-28,0.877446,1.115196,1.075883
2019-03-29,0.893262,1.121880,1.083988
2019-04-01,0.899842,1.136868,1.093907
2019-04-02,0.902775,1.130165,1.095110
2019-04-03,0.910315,1.131102,1.100238
2019-04-04,0.911111,1.135295,1.103106
2019-04-05,0.915844,1.137194,1.107154
2019-04-08,0.916631,1.135909,1.110282
2019-04-09,0.911268,1.123043,1.102257
2019-04-10,0.915918,1.129326,1.105231
2019-04-11,0.905324,1.133112,1.102735
2019-04-12,0.899287,1.142720,1.106727
2019-04-15,0.899395,1.139294,1.102776
2019-04-16,0.890310,1.145955,1.104815
2019-04-17,0.887947,1.136293,1.108775
2019-04-18,0.897450,1.144062,1.115032
2019-04-22,0.904087,1.144833,1.117662
2019-04-23,0.915218,1.129169,1.123698
2019-04-24,0.917896,1.114496,1.117941
2019-04-25,0.920045,1.094706,1.115366
2019-04-26,0.922917,1.112454,1.121076
2019-04-29,0.923981,1.115489,1.122222
2019-04-30,0.925414,1.120884,1.127071
2019-05-01,0.921962,1.108852,1.121879
2019-05-02,0.919787,1.104733,1.119270
2019-05-03,0.924280,1.120137,1.128337
2019-05-06,0.927304,1.108794,1.122525
2019-05-07,0.907579,1.095403,1.102815
2019-05-08,0.909096,1.086833,1.102390
2019-05-09,0.904843,1.085521,1.096550
2019-05-10,0.911012,1.090933,1.105522
2019-05-13,0.890456,1.068609,1.080645
2019-05-14,0.893870,1.073656,1.086687
2019-05-15,0.894745,1.076046,1.090587
2019-05-16,0.903456,1.080174,1.101008
2019-05-17,0.902262,1.074862,1.096137
2019-05-20,0.897745,1.083864,1.089404
