Date,Markowitz MVO,Random Forest,Equal Weight
2018-04-02,-0.029557,-0.024936,-0.019241
2018-04-03,0.020184,0.011333,0.015426
2018-04-04,0.010211,0.004306,0.010977
2018-04-05,-0.009704,0.006659,0.004874
2018-04-06,-0.029577,-0.019834,-0.020895
2018-04-09,0.002838,-0.001217,0.003353
2018-04-10,0.041577,0.019406,0.019938
2018-04-11,-0.010988,-0.004969,-0.008268
2018-04-12,0.027148,0.008722,0.012071
2018-04-13,-0.008148,0.003443,-0.001679
2018-04-16,0.008243,0.007290,0.009645
2018-04-17,0.024997,0.003427,0.010999
2018-04-18,-0.002402,0.006096,-0.001953
2018-04-19,-0.018548,-0.018751,-0.007471
2018-04-20,-0.004120,-0.012765,-0.008305
2018-04-23,-0.011466,-0.004179,-0.002860
2018-04-24,-0.016358,-0.033130,-0.012809
2018-04-25,-0.011662,0.000098,-0.000961
2018-04-26,0.027022,0.008251,0.011735
2018-04-27,0.006669,-0.004357,0.000735
2018-04-30,-0.010468,-0.004654,-0.010375
2018-05-01,0.008163,-0.002038,0.000376
2018-05-02,-0.007620,-0.009094,-0.007583
2018-05-03,0.017480,0.003938,0.002713
2018-05-04,0.019165,0.016693,0.012524
2018-05-07,0.023883,0.009148,0.005680
2018-05-08,0.001812,-0.003157,-0.002107
2018-05-09,0.012768,0.015464,0.009081
2018-05-10,0.015588,0.010137,0.012355
2018-05-11,-0.007893,0.003216,0.002865
2018-05-14,0.006438,0.000755,0.001647
2018-05-15,-0.027279,-0.011879,-0.010212
2018-05-16,0.004025,0.007653,0.002139
2018-05-17,0.003328,0.002893,-0.000053
2018-05-18,-0.001112,0.002172,-0.001637
2018-05-21,0.002679,0.013158,0.008254
2018-05-22,-0.007518,-0.008336,-0.003076
2018-05-23,0.013136,0.006345,0.004402
2018-05-24,-0.001516,-0.002873,-0.005459
2018-05-25,0.004300,-0.001444,-0.001453
2018-05-29,-0.005923,-0.008443,-0.012045
2018-05-30,0.014625,0.011829,0.013896
2018-05-31,-0.007048,-0.022327,-0.010473
2018-06-01,0.017201,0.007620,0.011147
2018-06-04,0.016991,0.003097,0.005346
2018-06-05,0.001325,0.000132,-0.000312
2018-06-06,0.006329,0.012890,0.010985
2018-06-07,-0.006839,0.008435,0.001270
2018-06-08,0.000544,0.006390,0.003066
2018-06-11,-0.001249,0.004870,-0.000283
2018-06-12,0.005065,0.001890,0.000099
2018-06-13,-0.003326,-0.013175,-0.007097
2018-06-14,0.011148,-0.007091,0.000679
2018-06-15,-0.006028,-0.000536,-0.003487
2018-06-18,-0.001049,-0.014211,-0.004723
2018-06-19,-0.015426,-0.014348,-0.007252
2018-06-20,0.005680,-0.003364,-0.000624
2018-06-21,-0.015313,-0.008559,-0.005332
2018-06-22,-0.012263,0.006777,0.003318
2018-06-25,-0.034963,-0.010779,-0.012575
2018-06-26,0.006112,-0.001626,0.000987
2018-06-27,-0.018808,-0.006244,-0.004837
2018-06-28,0.011926,0.008012,0.009191
2018-06-29,-0.009127,-0.001842,-0.000905
2018-07-02,0.011888,0.003849,0.004010
2018-07-03,-0.011143,-0.005640,-0.004787
2018-07-05,0.019307,0.016756,0.012180
2018-07-06,0.010641,0.003379,0.005707
2018-07-09,0.006986,-0.013138,0.008724
2018-07-10,0.010620,0.022302,0.006612
2018-07-11,-0.013798,-0.009748,-0.010674
2018-07-12,0.010443,-0.000859,0.008832
2018-07-13,-0.000564,0.003413,0.001421
2018-07-16,-0.005653,0.002978,-0.000259
2018-07-17,-0.000954,0.007566,0.003145
2018-07-18,0.001476,-0.004068,-0.000843
2018-07-19,-0.001488,-0.003120,-0.004337
2018-07-20,-0.004654,-0.000563,0.001824
2018-07-23,-0.002333,-0.001995,0.001130
2018-07-24,-0.000647,0.005266,0.007843
2018-07-25,0.011608,0.006645,0.010334
2018-07-26,0.011547,0.007892,0.005920
2018-07-27,-0.007670,0.003993,-0.002341
2018-07-30,-0.019321,-0.007179,-0.006018
2018-07-31,0.002212,0.007060,0.003757
2018-08-01,0.004629,-0.001969,-0.000803
2018-08-02,0.011657,0.015278,0.002700
2018-08-03,0.006613,0.004035,0.004896
2018-08-06,0.002595,0.003183,-0.000670
2018-08-07,0.005305,0.002900,0.002824
2018-08-08,0.004574,-0.002636,-0.001912
2018-08-09,-0.001051,-0.011132,-0.002232
2018-08-10,-0.006756,-0.001360,-0.008031
2018-08-13,0.002879,0.000865,-0.004157
2018-08-14,0.013049,0.000730,0.005288
2018-08-15,-0.007435,0.009061,-0.003573
2018-08-16,0.002401,0.014170,0.011378
2018-08-17,-0.022680,-0.005464,0.004624
2018-08-20,0.006861,0.001392,0.003040
2018-08-21,0.005759,0.005649,0.000153
2018-08-22,0.016428,-0.000886,-0.000842
2018-08-23,0.007271,-0.000494,-0.001434
2018-08-24,0.017296,0.003135,0.006550
2018-08-27,0.010224,0.003936,0.010207
2018-08-28,0.002035,-0.000259,0.001259
2018-08-29,0.008477,0.001765,0.003897
2018-08-30,-0.002705,-0.001510,-0.003968
2018-08-31,0.006019,-0.003845,-0.000753
2018-09-04,0.003345,-0.001377,-0.002756
2018-09-05,-0.009037,0.003853,0.002916
2018-09-06,-0.007031,-0.009418,-0.000837
2018-09-07,-0.005916,-0.008013,-0.003637
2018-09-10,-0.003906,0.005496,-0.000224
2018-09-11,-0.001912,-0.004933,0.004751
2018-09-12,-0.006427,0.008800,0.000696
2018-09-13,0.012118,0.004744,0.007473
2018-09-14,0.009560,0.003865,-0.000209
2018-09-17,-0.006008,0.005068,-0.000319
2018-09-18,-0.007643,-0.003436,0.000478
2018-09-19,0.002371,0.001907,0.006695
2018-09-20,-0.006084,0.011508,0.008872
2018-09-21,-0.004685,0.002860,0.000292
2018-09-24,0.002736,-0.014864,-0.006417
2018-09-25,0.000487,-0.010470,-0.003591
2018-09-26,-0.004505,-0.000032,-0.004390
2018-09-27,0.004172,-0.004095,0.001942
2018-09-28,0.029797,0.008400,0.002640
2018-10-01,0.014707,0.005357,0.010309
2018-10-02,-0.000521,0.005670,0.003256
2018-10-03,0.002801,-0.008949,-0.000790
2018-10-04,-0.016399,-0.007968,-0.006875
2018-10-05,-0.013674,-0.001327,-0.007302
2018-10-08,-0.005937,0.005755,0.001573
2018-10-09,0.000646,-0.003586,-0.002345
2018-10-10,-0.048353,-0.019784,-0.030036
2018-10-11,-0.027940,-0.023832,-0.024000
2018-10-12,0.024217,0.008536,0.010669
2018-10-15,-0.016487,0.003627,-0.004206
2018-10-16,0.037748,0.016245,0.020972
2018-10-17,-0.014069,0.003048,0.000212
2018-10-18,-0.012441,-0.011442,-0.009030
2018-10-19,-0.019189,0.032886,0.002479
2018-10-22,-0.002860,-0.006070,-0.002750
2018-10-23,-0.021137,0.004126,-0.007972
2018-10-24,-0.058763,-0.000729,-0.025433
2018-10-25,0.036053,0.003375,0.016873
2018-10-26,-0.027607,-0.013195,-0.014728
2018-10-29,-0.028331,0.002021,-0.004112
2018-10-30,0.035742,0.014922,0.019502
2018-10-31,0.023321,0.005686,0.011570
2018-11-01,0.012951,0.003892,0.004086
2018-11-02,-0.003847,-0.004314,-0.003030
2018-11-05,-0.002089,0.008183,0.003945
2018-11-06,0.006021,0.007128,0.007074
2018-11-07,0.030417,0.008560,0.018146
2018-11-08,-0.012948,0.000194,-0.004094
2018-11-09,-0.006719,0.003481,-0.008090
2018-11-12,-0.037429,-0.007230,-0.020883
2018-11-13,0.013088,0.000221,-0.000360
2018-11-14,-0.012052,-0.005022,-0.009438
2018-11-15,0.014520,0.005293,0.010768
2018-11-16,-0.058086,0.006140,-0.005917
2018-11-19,-0.056910,-0.006688,-0.015608
2018-11-20,-0.004347,-0.022435,-0.019496
2018-11-21,-0.007842,-0.006957,-0.003117
2018-11-23,0.000743,-0.001707,-0.007365
2018-11-26,0.030190,0.003043,0.014451
2018-11-27,0.009245,0.006362,0.003653
2018-11-28,0.037286,0.011303,0.021219
2018-11-29,-0.004904,-0.001817,-0.002753
2018-11-30,0.017739,0.015707,0.009899
2018-12-03,0.024776,-0.001108,0.010754
2018-12-04,-0.050155,-0.014917,-0.030583
2018-12-06,0.001491,-0.003513,-0.004112
2018-12-07,-0.044461,-0.015060,-0.023943
2018-12-10,0.008153,0.002329,0.002557
2018-12-11,-0.005645,0.003160,-0.000125
2018-12-12,0.007264,0.001037,0.000850
2018-12-13,0.003370,0.012580,0.004133
2018-12-14,-0.018984,-0.008575,-0.018772
2018-12-17,-0.024848,-0.025444,-0.021901
2018-12-18,0.002415,0.000250,0.002642
2018-12-19,-0.026886,-0.012304,-0.016363
2018-12-20,-0.024343,-0.013452,-0.015022
2018-12-21,-0.027152,-0.007069,-0.018018
2018-12-24,-0.026247,-0.035255,-0.032903
2018-12-26,0.049325,0.033989,0.041974
2018-12-27,0.001676,0.013445,0.008888
2018-12-28,0.005127,-0.006315,-0.002484
2018-12-31,0.006977,0.007180,0.008725
2019-01-02,-0.011564,0.005234,0.000219
2019-01-03,-0.033756,-0.055264,-0.026345
2019-01-04,0.024544,0.035317,0.031019
2019-01-07,0.012199,-0.001855,0.004542
2019-01-08,0.006250,0.011749,0.009046
2019-01-09,0.004462,0.005534,0.001500
2019-01-10,0.009231,0.002442,0.007652
2019-01-11,0.012403,-0.006183,0.000943
2019-01-14,0.003036,-0.004905,-0.001832
2019-01-15,0.021658,0.013305,0.008246
2019-01-16,0.009781,0.006699,0.006068
2019-01-17,0.001001,0.005619,0.006427
2019-01-18,0.023217,0.010973,0.015112
2019-01-22,-0.012958,-0.018721,-0.014659
2019-01-23,0.004529,0.000856,0.005052
2019-01-24,0.008933,-0.005754,-0.000174
2019-01-25,0.009333,0.018641,0.009041
2019-01-28,-0.042108,-0.001360,-0.020702
2019-01-29,-0.008897,-0.001826,-0.001748
2019-01-30,0.019126,0.032264,0.018766
2019-01-31,0.011705,0.001804,0.007303
2019-02-01,-0.004031,0.003055,0.003294
2019-02-04,0.004313,0.012192,0.005928
2019-02-05,-0.002865,0.005942,0.003938
2019-02-06,0.010710,0.000130,-0.001148
2019-02-07,-0.010101,-0.014807,-0.009493
2019-02-08,-0.016281,-0.002794,-0.000302
2019-02-11,-0.014168,-0.004906,-0.002164
2019-02-12,0.025222,0.013053,0.015834
2019-02-13,0.003349,0.000306,0.002868
2019-02-14,0.005225,-0.001012,-0.007773
2019-02-15,0.021190,0.013025,0.014637
2019-02-19,-0.002594,-0.000867,0.000063
2019-02-20,0.003108,0.005548,0.004558
2019-02-21,-0.011602,-0.004513,-0.001066
2019-02-22,0.006907,0.004803,0.005877
2019-02-25,-0.005528,0.007831,0.002565
2019-02-26,-0.008107,-0.002751,-0.003457
2019-02-27,-0.034406,0.000615,-0.003192
2019-02-28,-0.023387,-0.006337,-0.005576
2019-03-01,0.013529,0.007105,0.003936
2019-03-04,-0.027545,0.001545,-0.002768
2019-03-05,0.013770,-0.000744,-0.000014
2019-03-06,-0.014075,-0.003606,-0.006232
2019-03-07,-0.010842,-0.009029,-0.006586
2019-03-08,0.005471,0.000985,0.000682
2019-03-11,0.031933,0.020788,0.019043
2019-03-12,0.008602,0.004665,0.003793
2019-03-13,0.025216,0.003535,0.010040
2019-03-14,-0.000670,0.006640,-0.000073
2019-03-15,0.000180,0.009582,0.004302
2019-03-18,0.008796,0.006275,0.003718
2019-03-19,0.012911,-0.003345,0.001644
2019-03-20,-0.019175,-0.005694,-0.004966
2019-03-21,0.016046,0.011241,0.010793
2019-03-22,-0.021338,-0.022484,-0.017020
2019-03-25,-0.003684,-0.008994,-0.001762
2019-03-26,-0.004925,0.001575,0.007500
2019-03-27,-0.005138,0.002893,-0.003004
2019-03-28,0.001234,0.005081,0.003881
2019-03-29,0.018025,0.005994,0.007533
2019-04-01,0.007367,0.013360,0.009151
2019-04-02,0.003260,-0.005896,0.001099
2019-04-03,0.008351,0.000829,0.004683
2019-04-04,0.000874,0.003708,0.002607
2019-04-05,0.005195,0.001672,0.003669
2019-04-08,0.000860,-0.001130,0.002826
2019-04-09,-0.005851,-0.011326,-0.007228
2019-04-10,0.005103,0.005594,0.002698
2019-04-11,-0.011566,0.003352,-0.002258
2019-04-12,-0.006668,0.008480,0.003620
2019-04-15,0.000120,-0.002999,-0.003570
2019-04-16,-0.010102,0.005847,0.001849
2019-04-17,-0.002653,-0.008432,0.003585
2019-04-18,0.010702,0.006837,0.005643
2019-04-22,0.007395,0.000674,0.002359
2019-04-23,0.012312,-0.013682,0.005400
2019-04-24,0.002926,-0.012995,-0.005123
2019-04-25,0.002342,-0.017758,-0.002303
2019-04-26,0.003121,0.016213,0.005119
2019-04-29,0.001153,0.002728,0.001023
2019-04-30,0.001551,0.004837,0.004321
2019-05-01,-0.003730,-0.010735,-0.004607
2019-05-02,-0.002359,-0.003715,-0.002326
2019-05-03,0.004884,0.013944,0.008101
2019-05-06,0.003272,-0.010127,-0.005151
2019-05-07,-0.021271,-0.012077,-0.017558
2019-05-08,0.001672,-0.007824,-0.000386
2019-05-09,-0.004679,-0.001207,-0.005298
2019-05-10,0.006819,0.004986,0.008182
2019-05-13,-0.022565,-0.020463,-0.022503
2019-05-14,0.003834,0.004723,0.005591
2019-05-15,0.000979,0.002226,0.003589
2019-05-16,0.009735,0.003836,0.009556
2019-05-17,-0.001321,-0.004917,-0.004424
2019-05-20,-0.005007,0.008375,-0.006143
2019-05-21,0.013281,0.013096,0.008302
2019-05-22,-0.004872,-0.006992,-0.003829
2019-05-23,-0.013898,-0.008086,-0.011390
2019-05-24,-0.003104,0.006660,0.001070
2019-05-28,-0.013689,-0.010283,-0.013105
2019-05-29,-0.009179,-0.006018,-0.009384
2019-05-30,0.000206,-0.012937,0.000782
2019-05-31,-0.009947,-0.033528,-0.015289
2019-06-03,-0.008298,0.024835,0.005901
2019-06-04,0.025040,0.002989,0.020166
2019-06-05,0.011966,0.011984,0.008730
2019-06-06,0.006947,0.006227,0.010323
2019-06-07,0.011173,0.000299,0.009078
2019-06-10,0.008643,-0.007481,0.005042
2019-06-11,0.001287,0.012092,0.004228
2019-06-12,-0.007906,0.005018,-0.002856
2019-06-13,0.007798,0.002939,0.004520
2019-06-14,-0.002050,0.007036,-0.000941
2019-06-17,0.003678,-0.006462,-0.000622
2019-06-18,0.012202,0.006178,0.011339
2019-06-19,0.008155,0.003994,0.002075
2019-06-20,0.003099,0.006080,0.007442
2019-06-21,-0.001853,0.005267,-0.001125
2019-06-24,-0.003843,0.006609,0.001771
2019-06-25,-0.012406,-0.004756,-0.007623
2019-06-26,0.000503,-0.006292,-0.000913
2019-06-27,0.011967,0.003768,0.003507
2019-06-28,0.003880,0.001056,0.003926
2019-07-01,0.010297,0.001421,0.006704
2019-07-02,0.006514,0.013595,0.002874
2019-07-03,0.005852,0.006385,0.006145
2019-07-05,-0.001563,0.000064,-0.002409
2019-07-08,-0.002042,-0.005882,-0.004151
2019-07-09,-0.001200,-0.007854,-0.001731
2019-07-10,0.006095,0.007320,0.003797
2019-07-11,0.003315,0.007385,0.007755
2019-07-12,0.003365,0.008612,0.004695
